1;2011;"Хмельниький Одарка Олександрівна";"9999998";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
2;2012;"Хмельниький Одарка Олександрівна";"9999999";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
3;2011;"Сватов Степанида Гульнарівна";"9999996";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
4;2012;"Сватов Степанида Гульнарівна";"9999997";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
5;2011;"Ржевський Олексій Петрович";"9999994";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
6;2012;"Ржевський Олексій Петрович";"9999995";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
7;2011;"Самбукін Світлана Семенович";"9999992";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
8;2012;"Самбукін Світлана Семенович";"9999993";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
9;2011;"Перельман Шариф Олександрович";"9999990";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
10;2012;"Перельман Шариф Олександрович";"9999991";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
11;2011;"Ір Микола Маркович";"9999988";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
12;2012;"Ір Микола Маркович";"9999989";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
13;2011;"Кодиров Михайло Олександрівна";"9999986";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
14;2012;"Кодиров Михайло Олександрівна";"9999987";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
15;2011;"Фрімен Тетяна Маркович";"9999984";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
16;2012;"Фрімен Тетяна Маркович";"9999985";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
17;2011;"Самбукін Ксенія Миколайович";"9999982";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
18;2012;"Самбукін Ксенія Миколайович";"9999983";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
19;2011;"Смоляр Орися Гульнарівна";"9999980";"1111";"1";180.5;"2";178.5;"6";185.5;"''";0.0;"''";0.0
20;2012;"Смоляр Орися Гульнарівна";"9999981";"1111";"1";170.5;"12";158.5;"3";175.5;"''";0.0;"''";0.0
